id,date,time,strategy,spx,vix,strikes,entry_credit,exit_credit,pl,pl_per_contract,position_size,duration_min,reason,wl,balance,cumulative_pnl,peak,drawdown,month
14,2025-01-27,10:00,GEX,7238.407524787953,12.703507359326062,7340,2.8007648450377434,3.277861302778345,-143.12893732218055,-47.709645774060185,3,13,Stop Loss (-17%),LOSS,20892.295463467908,892.2954634679106,10427124.537944537,-10426232.24248107,2025-01
15,2025-01-27,10:30,OTM-SS,7238.407524787953,12.703507359326062,7190/7180,1.0351330306111175,0.49119074605550656,163.1826853666833,54.3942284555611,3,121,OTM 50% Lock-In Stop (peak 69%),WIN,21055.47814883459,1055.4781488345939,10427124.537944537,-10426069.059795702,2025-01
16,2025-01-27,11:30,GEX,7238.407524787953,12.703507359326062,7340,2.0296277236183458,2.4742708006847014,-133.3929231199067,-44.464307706635566,3,20,Stop Loss (-22%),LOSS,20922.085225714683,922.0852257146871,10427124.537944537,-10426202.452718822,2025-01
17,2025-01-28,11:30,OTM-SS,7193.517871030855,13.04740395598873,7245/7255,0.98638845706018,0.4926829044113797,148.1116657946401,49.370555264880025,3,91,OTM 50% Lock-In Stop (peak 59%),WIN,21070.196891509324,1070.196891509327,10427124.537944537,-10426054.341053028,2025-01
18,2025-02-06,10:00,GEX,7295.3381411347455,13.178952913660348,7245,2.8057823065354635,2.243333604453364,168.73461062462982,56.24487020820994,3,13,Trailing Stop (20%),WIN,21238.931502133953,1238.9315021339569,10427124.537944537,-10425885.606442403,2025-02
19,2025-02-06,10:30,GEX,7295.3381411347455,13.178952913660348,7245,2.947985817283863,2.4174758559010185,159.1529884148533,53.05099613828443,3,5,Trailing Stop (18%),WIN,21398.08449054881,1398.0844905488102,10427124.537944537,-10425726.453453988,2025-02
20,2025-02-06,11:00,OTM-SS,7295.3381411347455,13.178952913660348,7345/7355,0.7423118796629202,0.3552308655425816,116.12430423610158,38.70810141203386,3,94,OTM 50% Lock-In Stop (peak 69%),WIN,21514.20879478491,1514.2087947849118,10427124.537944537,-10425610.329149751,2025-02
21,2025-02-07,10:00,GEX,7337.581171106053,12.103346693338413,7365,2.985696050786858,2.088397888640306,269.1894486439657,89.72981621465523,3,47,Trailing Stop (30%),WIN,21783.398243428877,1783.3982434288775,10427124.537944537,-10425341.139701108,2025-02
22,2025-02-24,10:00,OTM-SS,7773.525282673555,12.051788779072979,7725/7715,0.7273858566414902,0.3678174719526104,107.87051540666397,35.95683846888799,3,145,OTM 50% Lock-In Stop (peak 70%),WIN,21891.26875883554,1891.2687588355416,10427124.537944537,-10425233.269185701,2025-02
23,2025-02-24,10:30,OTM-SS,7773.525282673555,12.051788779072979,7725/7715,0.8515230127003905,0.0,255.45690381011718,85.15230127003906,3,95,OTM Hold-to-Expiry: Full Credit Collected,WIN,22146.72566264566,2146.7256626456588,10427124.537944537,-10424977.812281892,2025-02
24,2025-02-24,11:30,OTM-SS,7773.525282673555,12.051788779072979,7725/7715,1.222162756018352,1.4629296238564293,-72.23006035142323,-24.076686783807745,3,6,Stop Loss (-20%),LOSS,22074.495602294235,2074.4956022942356,10427124.537944537,-10425050.042342242,2025-02
25,2025-02-26,10:00,OTM-SS,7818.366310629632,12.929202899905379,7870/7880,0.5249503828280153,0.2641967573045165,78.22608765704965,26.07536255234988,3,178,OTM 50% Lock-In Stop (peak 53%),WIN,22152.721689951286,2152.721689951285,10427124.537944537,-10424971.816254586,2025-02
26,2025-02-26,11:00,GEX,7818.366310629632,12.929202899905379,7720,2.8117072578129325,2.452917559964388,107.63690935456336,35.878969784854455,3,39,Trailing Stop (13%),WIN,22260.358599305848,2260.358599305848,10427124.537944537,-10424864.179345232,2025-02
27,2025-02-27,10:00,OTM-SS,7819.947888718665,12.750623633251024,7770/7760,0.3064981543108463,0.0,91.9494462932539,30.649815431084633,3,169,OTM Hold-to-Expiry: Full Credit Collected,WIN,22352.3080455991,2352.308045599102,10427124.537944537,-10424772.229898937,2025-02
28,2025-02-27,11:30,OTM-SS,7819.947888718665,12.750623633251024,7770/7760,1.0511942447548375,0.5448410217590607,151.90596689873303,50.63532229957768,3,162,OTM 50% Lock-In Stop (peak 70%),WIN,22504.214012497832,2504.214012497835,10427124.537944537,-10424620.323932039,2025-02
29,2025-03-03,10:30,GEX,7884.572338848588,13.077659209831548,7935,2.2072130336652473,1.9308237583411538,82.91678259722805,27.63892753240935,3,5,Trailing Stop (13%),WIN,22587.13079509506,2587.130795095063,10427124.537944537,-10424537.407149442,2025-03
30,2025-03-04,10:00,OTM-SS,7924.691088903267,14.073426186740418,7875/7865,1.0401993672495151,1.1756094798542442,-40.62303378141874,-13.541011260472914,3,22,Stop Loss (-13%),LOSS,22546.507761313642,2546.5077613136446,10427124.537944537,-10424578.030183222,2025-03
31,2025-03-05,10:30,GEX,8006.252114615814,13.320963813461253,7980,2.0520319805972917,1.4850991616498204,170.0798456842414,56.69328189474714,3,50,Trailing Stop (28%),WIN,22716.587606997884,2716.587606997886,10427124.537944537,-10424407.950337538,2025-03
32,2025-03-05,11:00,GEX,8006.252114615814,13.320963813461253,7980,2.190221996216184,1.5215487084531436,200.60198632891212,66.86732877630403,3,15,Trailing Stop (31%),WIN,22917.189593326795,2917.189593326798,10427124.537944537,-10424207.34835121,2025-03
33,2025-03-06,10:30,GEX,8088.629469172588,14.826903998581097,8040,2.711491139269027,3.0483319813241736,-101.05225261654395,-33.68408420551465,3,22,Stop Loss (-12%),LOSS,22816.13734071025,2816.1373407102537,10427124.537944537,-10424308.400603827,2025-03
34,2025-03-06,11:00,GEX,8088.629469172588,14.826903998581097,8040,2.6857146140628494,1.7087071656735064,293.1022345168029,97.7007448389343,3,31,Trailing Stop (36%),WIN,23109.239575227053,3109.239575227057,10427124.537944537,-10424015.298369309,2025-03
35,2025-03-06,11:30,GEX,8088.629469172588,14.826903998581097,8040,2.6573479071719692,2.1786839737418546,143.5991800290344,47.86639334301146,3,9,Trailing Stop (18%),WIN,23252.83875525609,3252.838755256091,10427124.537944537,-10423871.699189281,2025-03
36,2025-03-07,10:30,GEX,8133.298670487256,16.208857254536994,8060,2.218117174867404,2.5034501006171714,-85.59987772493022,-28.53329257497674,3,4,Stop Loss (-13%),LOSS,23167.23887753116,3167.238877531161,10427124.537944537,-10423957.299067006,2025-03
37,2025-03-07,11:00,GEX,8133.298670487256,16.208857254536994,8060,2.478164553582745,3.01281837026979,-160.39614500611356,-53.46538166870452,3,13,Stop Loss (-22%),LOSS,23006.842732525045,3006.8427325250477,10427124.537944537,-10424117.695212012,2025-03
38,2025-03-07,11:30,OTM-SS,8133.298670487256,16.208857254536994,8185/8195,0.48197347941043445,0.2230765151516417,77.66908927763782,25.889696425879272,3,111,OTM 50% Lock-In Stop (peak 56%),WIN,23084.511821802684,3084.5118218026855,10427124.537944537,-10424040.026122734,2025-03
39,2025-03-10,10:00,GEX,7926.025130108186,16.70987403345852,7875,2.3597051924659764,2.0761359109006015,85.0707844696125,28.3569281565375,3,54,Trailing Stop (12%),WIN,23169.582606272295,3169.582606272298,10427124.537944537,-10423954.955338264,2025-03
40,2025-03-10,10:30,GEX,7926.025130108186,16.70987403345852,7875,2.9222486631619136,2.014821260193283,272.22822089058917,90.74274029686306,3,58,Trailing Stop (31%),WIN,23441.810827162884,3441.810827162887,10427124.537944537,-10423682.727117375,2025-03
41,2025-03-10,11:30,OTM-SS,7926.025130108186,16.70987403345852,7975/7985,0.48261689195180335,0.2421771837376337,72.1319124642509,24.043970821416966,3,161,OTM 50% Lock-In Stop (peak 51%),WIN,23513.942739627135,3513.942739627138,10427124.537944537,-10423610.59520491,2025-03
42,2025-03-11,10:30,GEX,7981.483098125032,16.0398792796468,7955,2.5557981555731697,1.6251632222332055,279.1904800019893,93.06349333399642,3,35,Trailing Stop (36%),WIN,23793.133219629126,3793.1332196291273,10427124.537944537,-10423331.404724907,2025-03
43,2025-03-12,10:00,GEX,8037.780571133928,13.748322437081228,8115,2.9037815227338704,2.210538398644613,207.97293722677722,69.32431240892573,3,10,Trailing Stop (24%),WIN,24001.1061568559,4001.1061568559044,10427124.537944537,-10423123.43178768,2025-03
44,2025-03-12,10:30,GEX,8037.780571133928,13.748322437081228,8115,2.5562339192617336,1.664816359185172,267.4252680229685,89.14175600765617,3,32,Trailing Stop (35%),WIN,24268.53142487887,4268.531424878873,10427124.537944537,-10422856.006519658,2025-03
45,2025-03-13,10:00,GEX,8016.592477948912,14.330602764884851,7965,2.9331685967886036,3.4234467469563925,-147.08344505033665,-49.02781501677889,3,11,Stop Loss (-17%),LOSS,24121.447979828536,4121.447979828536,10427124.537944537,-10423003.089964708,2025-03
46,2025-03-13,10:30,OTM-SS,8016.592477948912,14.330602764884851,8065/8075,1.1366428666081456,0.5898587875570802,164.0352237153196,54.67840790510654,3,140,OTM 50% Lock-In Stop (peak 69%),WIN,24285.483203543856,4285.483203543855,10427124.537944537,-10422839.054740993,2025-03
47,2025-03-13,11:30,GEX,8016.592477948912,14.330602764884851,7965,2.069822480991785,1.7064714074912815,109.00532205015102,36.33510735005034,3,57,Trailing Stop (18%),WIN,24394.488525594006,4394.488525594006,10427124.537944537,-10422730.049418943,2025-03
48,2025-03-14,10:00,OTM-SS,8158.764569336277,13.979272270122719,8110/8100,0.5756081632414001,0.0,172.68244897242002,57.560816324140006,3,65,OTM Hold-to-Expiry: Full Credit Collected,WIN,24567.170974566427,4567.170974566427,10427124.537944537,-10422557.366969971,2025-03
49,2025-03-17,11:00,GEX,8079.608861794437,13.67958799952591,8005,2.7217774616153,3.2663655069998287,-163.37641361535862,-54.45880453845287,3,4,Stop Loss (-20%),LOSS,24403.794560951068,4403.794560951068,10427124.537944537,-10422720.743383586,2025-03
50,2025-03-17,11:30,OTM-SS,8079.608861794437,13.67958799952591,8130/8140,0.8951144788319012,1.047766965468993,-45.795745991127525,-15.265248663709174,3,19,Stop Loss (-17%),LOSS,24357.99881495994,4357.99881495994,10427124.537944537,-10422766.539129578,2025-03
51,2025-03-18,11:00,GEX,8168.361954541931,14.240380309233004,8095,2.4862841171852375,1.8999752167381936,175.89267013411316,58.63089004470439,3,48,Trailing Stop (24%),WIN,24533.891485094053,4533.891485094054,10427124.537944537,-10422590.646459443,2025-03
52,2025-03-19,10:30,GEX,8116.434677420158,14.92960971142306,8015,2.9099144892036355,2.548771200081326,108.34298673669284,36.114328912230945,3,8,Trailing Stop (12%),WIN,24642.234471830747,4642.234471830747,10427124.537944537,-10422482.303472705,2025-03
53,2025-03-19,11:00,OTM-SS,8116.434677420158,14.92960971142306,8165/8175,0.4554028715088674,0.0,136.62086145266022,45.54028715088674,3,256,OTM Hold-to-Expiry: Full Credit Collected,WIN,24778.855333283405,4778.855333283407,10427124.537944537,-10422345.682611253,2025-03
54,2025-03-20,10:00,GEX,8125.889760475287,16.005293730813644,8175,2.7772124827079336,3.1063483039885,-98.74074638416985,-32.91358212805662,3,4,Stop Loss (-12%),LOSS,24680.114586899235,4680.114586899237,10427124.537944537,-10422444.423357638,2025-03
55,2025-03-20,10:30,OTM-SS,8125.889760475287,16.005293730813644,8075/8065,0.9421839866686565,1.1777299833358206,-70.66379900014921,-23.554599666716403,3,8,EMERGENCY Stop Loss (-25%),LOSS,24609.450787899084,4609.450787899088,10427124.537944537,-10422515.087156637,2025-03
56,2025-03-20,11:30,GEX,8125.889760475287,16.005293730813644,8175,2.1828133891081642,1.739517192353905,132.98885902627777,44.329619675425924,3,7,Trailing Stop (20%),WIN,24742.439646925362,4742.439646925366,10427124.537944537,-10422382.09829761,2025-03
57,2025-03-21,10:00,GEX,8057.432087913112,15.677102211134512,8105,2.337480217014901,2.836765210516952,-149.78549805061533,-49.928499350205115,3,5,Stop Loss (-21%),LOSS,24592.654148874746,4592.654148874751,10427124.537944537,-10422531.883795662,2025-03
58,2025-03-24,10:00,GEX,8019.519470133359,14.245877041888942,7970,2.6400864722775266,1.960743462958504,203.80290279570673,67.93430093190224,3,6,Trailing Stop (26%),WIN,24796.45705167045,4796.457051670457,10427124.537944537,-10422328.080892866,2025-03
59,2025-03-24,10:30,GEX,8019.519470133359,14.245877041888942,7970,2.441150152514098,1.4978862743034218,282.9791634632029,94.32638782106764,3,9,Trailing Stop (39%),WIN,25079.436215133654,5079.43621513366,10427124.537944537,-10422045.101729402,2025-03
60,2025-03-24,11:00,OTM-SS,8019.519470133359,14.245877041888942,8070/8080,0.9655672993263267,0.0,289.670189797898,96.55672993263266,3,62,OTM Hold-to-Expiry: Full Credit Collected,WIN,25369.10640493155,5369.106404931558,10427124.537944537,-10421755.431539604,2025-03
61,2025-03-25,10:00,GEX,8048.016378062406,14.682344609879937,8150,2.5038340397689076,2.0132756253723,147.16752431898232,49.055841439660774,3,20,Trailing Stop (20%),WIN,25516.273929250532,5516.27392925054,10427124.537944537,-10421608.264015285,2025-03
62,2025-03-25,10:30,GEX,8048.016378062406,14.682344609879937,8150,2.150170837140281,2.5351943900746647,-115.5070658803152,-38.5023552934384,3,27,Stop Loss (-18%),LOSS,25400.766863370216,5400.766863370225,10427124.537944537,-10421723.771081166,2025-03
63,2025-03-26,11:00,OTM-SS,8048.510216256091,14.579523015516797,8000/7990,0.6829076603859141,0.0,204.87229811577424,68.29076603859141,3,104,OTM Hold-to-Expiry: Full Credit Collected,WIN,25605.63916148599,5605.6391614859995,10427124.537944537,-10421518.89878305,2025-03
64,2025-03-27,11:00,OTM-SS,7911.8107057298985,14.300925391199758,7860/7850,1.355068587569795,0.0,406.52057627093853,135.5068587569795,3,255,OTM Hold-to-Expiry: Full Credit Collected,WIN,26012.159737756927,6012.159737756938,10427124.537944537,-10421112.37820678,2025-03
65,2025-03-27,11:30,GEX,7911.8107057298985,14.300925391199758,7960,2.964275398815297,3.6001680428867795,-190.76779322144475,-63.58926440714825,3,14,Stop Loss (-21%),LOSS,25821.39194453548,5821.391944535493,10427124.537944537,-10421303.146000002,2025-03
66,2025-03-28,11:00,GEX,7879.272797159512,13.668555582858163,7955,2.397343063128311,2.0867974450923588,93.16368541078562,31.054561803595206,3,21,Trailing Stop (13%),WIN,25914.555629946266,5914.555629946279,10427124.537944537,-10421209.98231459,2025-03
67,2025-03-31,10:00,GEX,7864.023027713507,14.305750881386885,7965,2.450563766373627,1.6543146383870955,238.87473839595947,79.62491279865316,3,9,Trailing Stop (32%),WIN,26153.430368342226,6153.430368342239,10427124.537944537,-10420971.107576195,2025-03
68,2025-03-31,10:30,GEX,7864.023027713507,14.305750881386885,7965,2.10249456130828,2.3395359311582884,-71.11241095500253,-23.704136985000844,3,7,Stop Loss (-11%),LOSS,26082.317957387222,6082.317957387236,10427124.537944537,-10421042.21998715,2025-03
69,2025-03-31,11:00,GEX,7864.023027713507,14.305750881386885,7965,2.869118820239975,3.263212609510401,-118.22813678112786,-39.40937892704262,3,4,Stop Loss (-14%),LOSS,25964.089820606096,5964.089820606108,10427124.537944537,-10421160.44812393,2025-03
70,2025-04-01,11:00,GEX,8042.019140053525,14.649753606080035,8065,2.219178834313859,2.620406524294546,-120.36830699420604,-40.12276899806868,3,11,Stop Loss (-18%),LOSS,25843.72151361189,5843.721513611902,10427124.537944537,-10421280.816430924,2025-04
71,2025-04-02,11:00,GEX,8066.873842114173,14.710332329705864,8140,2.299004681612428,1.8047981237634547,148.26196735469193,49.42065578489731,3,38,Trailing Stop (21%),WIN,25991.98348096658,5991.983480966594,10427124.537944537,-10421132.554463571,2025-04
72,2025-04-03,11:30,OTM-SS,7881.132018205803,14.81278522128606,7930/7940,1.0442914305420636,0.0,313.2874291626191,104.42914305420636,3,187,OTM Hold-to-Expiry: Full Credit Collected,WIN,26305.2709101292,6305.270910129213,10427124.537944537,-10420819.267034408,2025-04
73,2025-04-04,10:30,GEX,7886.828205038157,17.39474881164274,7960,2.680717493822855,1.6986627091414348,294.6164354044261,98.20547846814203,3,58,Trailing Stop (37%),WIN,26599.887345533625,6599.887345533639,10427124.537944537,-10420524.650599003,2025-04
74,2025-04-04,11:30,OTM-SS,7886.828205038157,17.39474881164274,7835/7825,0.5161847012903295,0.24755139738239157,80.58999117238136,26.863330390793788,3,74,OTM 50% Lock-In Stop (peak 64%),WIN,26680.477336706008,6680.477336706021,10427124.537944537,-10420444.06060783,2025-04
75,2025-04-07,10:00,GEX,7868.622790447148,17.556821272812076,7945,2.649568919182452,3.0368507260629687,-116.18454206415504,-38.72818068805168,3,9,Stop Loss (-15%),LOSS,26564.292794641853,6564.292794641866,10427124.537944537,-10420560.245149896,2025-04
76,2025-04-07,10:30,GEX,7868.622790447148,17.556821272812076,7945,2.234572242047289,1.654580346957886,173.99756852682088,57.9991895089403,3,58,Trailing Stop (26%),WIN,26738.290363168675,6738.290363168687,10427124.537944537,-10420386.247581368,2025-04
77,2025-04-07,11:30,GEX,7868.622790447148,17.556821272812076,7945,2.2045353099067855,1.611539240540584,177.89882080986047,59.29960693662015,3,52,Trailing Stop (27%),WIN,26916.189183978535,6916.189183978548,10427124.537944537,-10420208.348760558,2025-04
78,2025-04-08,10:00,OTM-SS,7865.345184580755,16.232461107911337,7815/7805,1.1833304059141048,0.5467219386703057,190.98254017313974,63.66084672437991,3,157,OTM 50% Lock-In Stop (peak 51%),WIN,27107.171724151674,7107.171724151687,10427124.537944537,-10420017.366220385,2025-04
79,2025-04-08,11:00,GEX,7865.345184580755,16.232461107911337,7915,2.4124666536239716,2.001080511366831,123.41584267714215,41.13861422571405,3,60,Trailing Stop (17%),WIN,27230.587566828817,7230.587566828829,10427124.537944537,-10419893.950377708,2025-04
80,2025-04-09,10:00,GEX,7973.209535632452,16.961148029806978,8050,2.712444232925892,2.9864296212818626,-82.1956165067912,-27.398538835597066,3,19,Stop Loss (-10%),LOSS,27148.391950322028,7148.391950322038,10427124.537944537,-10419976.145994214,2025-04
81,2025-04-10,10:00,OTM-SS,8048.894297190294,15.955645772031541,8000/7990,1.446924608318249,1.8086557603978113,-108.51934562386869,-36.17311520795623,3,9,EMERGENCY Stop Loss (-25%),LOSS,27039.872604698157,7039.872604698169,10427124.537944537,-10420084.665339839,2025-04
82,2025-04-10,11:00,OTM-SS,8048.894297190294,15.955645772031541,8000/7990,0.8558275040618997,0.0,256.7482512185699,85.58275040618997,3,286,OTM Hold-to-Expiry: Full Credit Collected,WIN,27296.620855916728,7296.620855916739,10427124.537944537,-10419827.91708862,2025-04
83,2025-04-10,11:30,GEX,8048.894297190294,15.955645772031541,8150,2.9173900394844736,3.5062197557858856,-176.6489148904236,-58.8829716301412,3,23,Stop Loss (-20%),LOSS,27119.971941026306,7119.971941026315,10427124.537944537,-10420004.56600351,2025-04
84,2025-04-11,10:00,OTM-SS,8184.385614743389,14.558230132036106,8235/8245,0.8116426492168887,0.39652377605515043,124.53566194852148,41.511887316173826,3,76,OTM 50% Lock-In Stop (peak 62%),WIN,27244.507602974827,7244.507602974837,10427124.537944537,-10419880.030341562,2025-04
85,2025-04-14,10:00,GEX,8242.0223918203,16.892862744642475,8315,2.772202476248889,2.0626238274719078,212.87359463309434,70.95786487769811,3,46,Trailing Stop (26%),WIN,27457.38119760792,7457.381197607931,10427124.537944537,-10419667.15674693,2025-04
86,2025-04-14,11:00,OTM-SS,8242.0223918203,16.892862744642475,8190/8180,1.001739645088437,0.49428434722847797,152.23658935798773,50.74552978599591,3,177,OTM 50% Lock-In Stop (peak 61%),WIN,27609.617786965908,7609.61778696592,10427124.537944537,-10419514.92015757,2025-04
87,2025-04-14,11:30,GEX,8242.0223918203,16.892862744642475,8315,2.279364250384209,2.797699551838569,-155.50059043630804,-51.833530145436015,3,13,Stop Loss (-23%),LOSS,27454.117196529598,7454.117196529612,10427124.537944537,-10419670.420748007,2025-04
88,2025-04-15,10:00,OTM-SS,8144.054120960637,16.237278740575455,8195/8205,0.6813662963448889,0.0,204.40988890346665,68.13662963448888,3,105,OTM Hold-to-Expiry: Full Credit Collected,WIN,27658.527085433063,7658.527085433078,10427124.537944537,-10419466.010859104,2025-04
89,2025-04-15,11:30,GEX,8144.054120960637,16.237278740575455,8095,2.0229435278331804,2.2693126166825457,-73.91072665480957,-24.636908884936524,3,24,Stop Loss (-12%),LOSS,27584.616358778254,7584.6163587782685,10427124.537944537,-10419539.92158576,2025-04
90,2025-04-16,10:00,GEX,8153.792914286653,15.71007521240171,8080,2.686820069864281,1.62133302173307,319.6461144393633,106.5487048131211,3,18,Trailing Stop (40%),WIN,27904.262473217615,7904.262473217632,10427124.537944537,-10419220.275471319,2025-04
91,2025-04-16,10:30,GEX,8153.792914286653,15.71007521240171,8080,2.6840695939247396,1.9518517545827865,219.66535180258595,73.22178393419532,3,32,Trailing Stop (27%),WIN,28123.9278250202,8123.927825020218,10427124.537944537,-10419000.610119516,2025-04
92,2025-04-16,11:30,GEX,8153.792914286653,15.71007521240171,8080,2.1261225605667873,1.7525711903037957,112.06541107889745,37.355137026299154,3,6,Trailing Stop (18%),WIN,28235.993236099097,8235.993236099115,10427124.537944537,-10418888.544708438,2025-04
93,2025-04-17,10:00,OTM-SS,8002.067452326608,15.807630665967567,7950/7940,1.2578427264462804,0.6145826427913668,192.97802509647408,64.32600836549136,3,144,OTM 50% Lock-In Stop (peak 52%),WIN,28428.97126119557,8428.97126119559,10427124.537944537,-10418695.56668334,2025-04
94,2025-04-17,11:30,OTM-SS,8002.067452326608,15.807630665967567,7950/7940,0.32312518859135575,0.16540846476744597,47.31501714717294,15.771672382390978,3,131,OTM 50% Lock-In Stop (peak 65%),WIN,28476.28627834274,8476.286278342763,10427124.537944537,-10418648.251666194,2025-04
95,2025-04-18,10:30,GEX,7900.059940661488,16.300460030005993,7950,2.1052099614697406,1.8072118717259398,89.39942692314024,29.79980897438008,3,6,Trailing Stop (14%),WIN,28565.68570526588,8565.685705265903,10427124.537944537,-10418558.852239272,2025-04
96,2025-04-21,11:00,GEX,7812.897861925362,17.820348432022932,7840,2.0035567360216624,1.4651081377724169,161.53457947477366,53.844859824924555,3,43,Trailing Stop (27%),WIN,28727.220284740655,8727.220284740677,10427124.537944537,-10418397.317659795,2025-04
97,2025-04-21,11:30,GEX,7812.897861925362,17.820348432022932,7840,2.0953176808962377,2.317530811689599,-66.66393923800845,-22.22131307933615,3,13,Stop Loss (-11%),LOSS,28660.556345502646,8660.556345502668,10427124.537944537,-10418463.981599035,2025-04
98,2025-04-22,11:00,OTM-SS,7739.464126248884,17.316252072614965,7790/7800,1.388048892999153,0.0,416.41466789974584,138.8048892999153,3,199,OTM Hold-to-Expiry: Full Credit Collected,WIN,29076.97101340239,9076.971013402414,10427124.537944537,-10418047.566931134,2025-04
99,2025-04-23,10:30,OTM-SS,7815.018374087904,15.953762548919514,7765/7755,0.9017900336823639,0.4253090817713472,142.944285573305,47.64809519110167,3,143,OTM 50% Lock-In Stop (peak 66%),WIN,29219.915298975695,9219.915298975719,10427124.537944537,-10417904.62264556,2025-04
100,2025-04-23,11:00,GEX,7815.018374087904,15.953762548919514,7915,2.1069060102030353,1.5254223770369724,174.44508994981885,58.148363316606286,3,7,Trailing Stop (28%),WIN,29394.360388925514,9394.360388925537,10427124.537944537,-10417730.177555611,2025-04
101,2025-04-23,11:30,OTM-SS,7815.018374087904,15.953762548919514,7765/7755,0.8683294795622543,0.0,260.49884386867626,86.83294795622542,3,83,OTM Hold-to-Expiry: Full Credit Collected,WIN,29654.85923279419,9654.859232794213,10427124.537944537,-10417469.678711742,2025-04
102,2025-04-24,10:00,GEX,7873.563990117448,17.06552904830999,7800,2.715339778053516,2.2672743872434196,134.41961724302894,44.806539081009646,3,20,Trailing Stop (17%),WIN,29789.27885003722,9789.278850037243,10427124.537944537,-10417335.259094499,2025-04
103,2025-04-24,10:30,GEX,7873.563990117448,17.06552904830999,7800,2.9821595593426777,3.5579278665368945,-172.73049215826504,-57.57683071942168,3,3,Stop Loss (-19%),LOSS,29616.548357878954,9616.548357878977,10427124.537944537,-10417507.989586657,2025-04
104,2025-04-24,11:30,OTM-SS,7873.563990117448,17.06552904830999,7925/7935,0.6807981101874536,0.31417861605031455,109.98584824114172,36.661949413713906,3,68,OTM 50% Lock-In Stop (peak 63%),WIN,29726.534206120094,9726.534206120119,10427124.537944537,-10417398.003738416,2025-04
